Title,Company,Location,URL,Description,skills_required
AI ML Engineer,STEDI Talent Solution,Indonesia,https://id.linkedin.com/jobs/view/ai-ml-engineer-at-stedi-talent-solution-4337975102?position=1&pageNum=2&refId=fA9FObB2cvwGbuRyT9SR8A%3D%3D&trackingId=St5w8sDO%2B7STLHZis9c1Rw%3D%3D,"About the Company Our client is an US-based software aggregator that uses AI and machine learning solutions. About the Role Our client is looking for a Machine Learning Engineer who’s passionate about solving real-world data and spatial analysis problems. In this role, you’ll work on end-to-end ML solutions — from data parsing and structuring to building robust visualizations and intelligent automation tools. You’ll join a team that values clear thinking, experimentation, and clean code. Our projects use real production data, where accuracy, efficiency, and explainability truly matter. Responsibilities Design and implement clean, modular Python solutions for data processing and analysis. Work on real-world spatial or image-based problems using modern tools and frameworks. Validate models and results through logical, transparent reasoning. Collaborate with cross-functional teams to turn data insights into practical outcomes. Communicate technical concepts clearly, including trade-offs and debugging strategies. Qualifications Familiarity with AI-assisted development tools (e.g., Copilot, Cursor) is a must Min 5 years of relevant experience Excellent English communication skill Strong proficiency in Python 3.11+ (typing, pathlib, etc.). Hands-on experience with libraries such as PyMuPDF, OpenCV, and Shapely (or similar). Proven ability to analyze documents, images, or structured data. Curiosity, adaptability, and a growth mindset. Indonesian Citizen If you thrive in a demanding, fast-paced environment and are looking for a truly rewarding experience, this could be the place for you.",communication;machine learning;opencv;python
ML Engineer,ilmuOne Data,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/ml-engineer-at-ilmuone-data-4315132644?position=2&pageNum=2&refId=fA9FObB2cvwGbuRyT9SR8A%3D%3D&trackingId=c4lDQs81eG%2BDfRfFyFuEEQ%3D%3D,"The Role You will be responsible for : Design, develop, test, deploy, maintain and optimize ML models/infrastructure and software that uses these models. Architect efficient and scalable systems that drive complex applications. Build the libraries and frameworks that support large, complex web applications. Contribute to engineering efforts from planning and organization to execution and delivery to solve complex, real world engineering problems. Identify and resolve performance and scalability issues. Participate in cutting edge research in artificial intelligence and machine learning applications. Manage individual project priorities, deadlines and deliverables. Ideal Profile Bachelor's degree in Computer Science, Data Science, Machine Learning or equivalent work experience. 1-3 years of relevant work experience in machine learning software development and architectures for machine learning (with focus on deep learning, computer vision, LLMs, GNN, RL. 1-3 years of experience using Python and popular libraries such as Scikit-learn, TensorFlow, or PyTorch. Experience designing and implementing distributed software systems (e.g Java, C++, or Python). Experience improving quality through thoughtful code reviews, appropriate testing, proper rollout, monitoring, and proactive changes. Experience with deployment on cloud platforms: AWS, Azure, GCP. Experience with developing machine learning models at scale from inception to business impact. Excellent communication skills and the ability to work in a team-oriented environment. Experience building maintainable and testable code bases, including API design and unit testing techniques What's on Offer? Excellent career development opportunities Flexible working options Great work environment",api design;aws;azure;c;communication;computer vision;deep learning;gcp;java;machine learning;monitoring;python;pytorch;scalability;scikit-learn;tensorflow;testing;unit testing
Applied Data Scientist,Taskify AI,Indonesia,https://id.linkedin.com/jobs/view/applied-data-scientist-at-taskify-ai-4338413115?position=3&pageNum=2&refId=fA9FObB2cvwGbuRyT9SR8A%3D%3D&trackingId=giznnT3DesR4eNEMNpWTgA%3D%3D,"Role: Applied Data Scientist Location: Remote We are hiring applied data science professionals to drive a high-impact analytics initiative. In this short-term contract role, you’ll work with complex datasets to uncover insights, build statistical models, and guide business decisions — without the overhead of production ML engineering. What You’ll Do Convert business questions into clear analytical workflows Perform data wrangling, EDA, and hypothesis testing Build statistical models and predictive tools Develop dashboards and visualizations for business teams Communicate findings to non-technical stakeholders What You Bring 5+ years in applied data science or analytics Strong Python or R skills (pandas, NumPy, Jupyter) and solid SQL experience Familiarity with BI tools like Tableau or Power BI Strong foundation in statistics, experimentation, and A/B testing Excellent communication and storytelling abilities Role Details Remote ~6-week project Minimum 30 hours/week Compensation $75–$100 per hour Weekly payments Independent contractor role Apply Now!",communication;data scientist;data wrangling;eda;hypothesis testing;numpy;pandas;python;r;sql;tableau;testing
Sr Data Scientist,Amar Bank,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/sr-data-scientist-at-amar-bank-3834482838?position=4&pageNum=2&refId=fA9FObB2cvwGbuRyT9SR8A%3D%3D&trackingId=3YF9ZSV7RQnaiFKzGc1oNg%3D%3D,"Who are we? Amar Bank is one of the most technologically advanced digital banks in Indonesia. Our leading digital lending product, Tunaiku has the distinction of being the first FinTech product in Indonesia. We are also the first digital bank on the cloud. As the first profitable digital bank, we managed to get listed on the Indonesian Stock Exchange. How did we manage to do that? We are changing people’s perception of a bank. We believe we are the innovators who combine customer focus principles with creating technology-based impact. We incorporate freedom and flexibility as part of our startup working culture DNA to encourage innovation in creating better financial solutions for the banking industry. We think of ourselves as, ‘A technology company with a banking license’. For this reason, we ‘Act like a FinTech, and think like a Bank.’ How did it all start? Founded on March 15, 1991, in Surabaya as PT Anglomas International Bank (Amin Bank), the bank was acquired by Tolaram Group and transformed to PT Bank Amar Indonesia (Amar Bank) in 2014. It has then undergone a significant digital transformation to become one of the country's forerunning fintech institutions through its award-winning digital lending platform, Tunaiku. Our philosophy, mission, and vision Technology must impact lives, must improve lives. We exist to provide banking to those who ‘need’ and not only to those who ‘want’. Services when provided to those who need at the time of their need brings smiles. Our vision is to bring 200 million smiles. More About The Bank With Startup Culture Environment Consist of 1000+ people, you will meet people who love to grow, dream big, and actually have fun at the workplace! We provide a great working environment that pushes people to grow outside their comfort zone. People with high drive and ambition find us a very attractive place to work as their career growth matches their own drive and not any staid policies. Thus we hold the honor of being awarded “Best Place to Work in Indonesia”. Recently Amar Bank was awarded as Inspirational Brand from APEA (Asia Pacific Enterprise Awards) 2022. Of course, our innovation won't stop here. So if you would love to be a part of it, have a growth mindset, and are constantly hungry for challenges, we invite you to join us in our journey to ‘Impact Lives’. Join us today and create #unlimitedinnovations! Responsibilities Model Selection and Optimization: involved in selecting advanced models, optimizing hyperparameters, and improving model performance Leadership: lead projects, guide junior team members, and provide strategic input on data science initiatives Decision-Making: making decisions on the overall data science strategy and direction for the organization Complex Problem Solving: tackling more complex and nuanced business problems using advanced analytical techniques Collaboration and Communication: interacting with cross-functional teams and stakeholders to understand business goals and translate them into data science solutions Requirements Education: master's or Ph.D. in a quantitative field with several years of relevant work experience Experience: proven track record of successful data science projects and a deep understanding of various machine learning algorithms Advanced skills: proficiency in advanced statistical methods, deep learning, and other complex analytical techniques (modeling with R, Python, SQL, or similar tools) Business acumen: understanding of the business context and the ability to align data science initiatives with organizational goals Communication skills: strong communication skills in English to explain complex concepts to non-technical stakeholders Bonus Point If Prior working experience from banking sector, especially from area of debt collection We exist to innovate and maintain the architecture of Amar Bank's products. As part of our main focus to create through technology we ensure the process and technology we use helps maintain and build human connection at scale. It’s our job to plan, monitor, and control the technology growth so we can provide a faster, more convenient, and more efficient way of performing business transactions. We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.",communication;deep learning;leadership;machine learning;problem solving;python;r;sql
Senior Data Scientist (Analytics),Grab,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/senior-data-scientist-analytics-at-grab-4316462547?position=5&pageNum=2&refId=fA9FObB2cvwGbuRyT9SR8A%3D%3D&trackingId=VqVTz3BRgM1dwV%2Bzmk2yfw%3D%3D,"Company Description About Grab and Our Workplace Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility. Job Description Get to Know the Team We drive innovation and operational excellence by turning data into actionable strategies that elevate the end-to-end experience for consumers, driver-partners, and merchant-partners. From optimizing transaction flows and platform efficiency to enhancing reliability, we strive to make Grab the first choice, every time. Get to Know the Role You will be responsible for all matters related to data ETL, creation of dashboards and development of data driven insights. In addition, you will provide day to day data support to the Transformation and Strategy Office team. You will collaborate closely with cross-functional teams including Corporate Strategy, Finance, and Analytics, as well as other key business units. In this role, you are expected to contribute to strategic planning and data-driven insights that support business growth and decision-making. Your work will involve translating analytical findings into actionable recommendations, aligning initiatives across teams, and ensuring strategic priorities are executed effectively to drive organizational impact. You will be directly report to the manager. The role will based onsite. The Critical Tasks You Will Perform Be an industry subject matter expert in using data to measure and analyze business/product performance in each of our markets and lines of business. Lead the exploration of business/product issues/opportunities, uncover insights and/or identify targeted areas for business growth. Localize, tune in-production models to new cities / markets to enable product velocity. Provide thought leadership and generate data-driven hypotheses to solve key Product/Business problems. Develop mixed effect, causal inference models to understand interaction effects or product configurations that are working sub optimally. Build and manage anomaly detection systems to intelligently alert slow-moving changes or sudden anomalies in product or system metrics. Develop analytics tools to help data teams and other disciplines be more at debugging, data summarization and at analysis of results. Qualifications What Essential Skills You Will Need 4+ years of experience, preferably in the e-commerce or the Internet industry. A minimum of Bachelor's/Master's degree, in Analytics, Statistics, Software, Mathematics, Economics, Computer Science or Engineering Experience in foundation in data query/manipulation using SQL and data visualization tools (PowerBI). Strong statistical knowledge - ideally having utilized controlled experiments in the industry. Able to speak and write Both in Bahasa & English Additional Information Life at Grab We care about your well-being at Grab, here are some of the global benefits we offer: We have your back with Term Life Insurance and comprehensive Medical Insurance. With GrabFlex, create a benefits package that suits your needs and aspirations. Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leave We have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges. Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours What We Stand For At Grab We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",data visualization;etl;leadership;powerbi;sql
Data Scientist Associate - UTPE,PT Astra International Tbk,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-scientist-associate-utpe-at-pt-astra-international-tbk-4212980988?position=6&pageNum=2&refId=fA9FObB2cvwGbuRyT9SR8A%3D%3D&trackingId=d%2Bvz7ToN%2FJcon1kG2Nh12A%3D%3D,"Deskripsi Pekerjaan Menentukan data relevan yang bisnis butuhkan serta merancang rekayasa & pengolahan data yang diperlukan Menganalisis dataset untuk menemukan pola dan insight yang relevan dengan pengambilan keputusan bisnis. Persyaratan S1 Statitiska, Teknik Industri IPK >3 Bersedia ditempatkan di mana saja",
Data Scientist - Risk Platform,Cermati.com,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-scientist-risk-platform-at-cermati-com-4334237742?position=7&pageNum=2&refId=fA9FObB2cvwGbuRyT9SR8A%3D%3D&trackingId=ff7jljxcdVKhOuH%2BzvbyHg%3D%3D,"Job Description We’re looking for fresh graduates with experience in manipulating datasets and building statistical models for credit risk by leveraging machine learning techniques. You will partner with business, product, and engineering team to explore, determine, analyze, propose, and solve some of the most challenging business problems in lending and reduce risk. You will perform deep-dive exploration and analysis to find improvements in our existing framework. You will be submerged in a fast-paced environment working tightly in a strong team of data scientists and experience firsthand our robust data infrastructure. Responsibilities Perform features selection, parameter binning, and optimize custom predictive machine learning models for credit risk scoring Query, process, cleanse, and verify the integrity of data used for analysis Analyze key metrics to determine risk and explore areas for improvements Create reports and dashboards to monitor model impact and performance Help build the variety of data ingredients needed to do modelling effectively Maintain the credit risk model platform which is utilized by the team Provide advice and guidance on potential efficiency gains and new state-of-the-art credit risk modelling methodologies Qualifications Bachelor degree in an analytical or quantitative discipline (e.g. math, statistics, engineering, computer science), however other disciplines will be considered Experienced in using statistical computer languages such as R, Python SAS, SQL, or advanced MS Excel skills is a plus. Have good communication skills and able to work together in a team Excellent problem-solving skills and have the drive to learn and master new technologies and techniques Willingness to learn new skills independently and have a strong sense of project ownership Not afraid to get your hands dirty to explore data and build statistical models",communication;machine learning;python;r;sql
AI Engineer,Walturn,Indonesia,https://id.linkedin.com/jobs/view/ai-engineer-at-walturn-4341993396?position=8&pageNum=2&refId=fA9FObB2cvwGbuRyT9SR8A%3D%3D&trackingId=%2F4FMrh01X1xDlTnwRGyKYA%3D%3D,"ROLE OVERVIEW We’re looking for an AI Engineer who can architect, implement, and scale autonomous agent systems that turn product ideas into fully-functional mobile apps. You’ll sit at the heart of our R&D efforts combining cutting-edge LLM research with rigorous software engineering to push the boundaries of automated development. KEY RESPONSIBILITIES • Design agent architectures that can plan, reason, and decompose user specs into actionable development tasks. • Prototype and productionize LLM pipelines (e.g., OpenAI, Anthropic, Cohere) leveraging frameworks like LangChain, AutoGen, or custom orchestration layers. • Integrate agents with our cloud backend (Python/FastAPI, PostgreSQL, Redis) and CI/CD pipelines to generate, test, and deploy code autonomously. • Instrument feedback loops & evaluation harnesses to measure tool effectiveness, hallucination rates, and coding accuracy. • Collaborate with front-end and mobile engineers to ensure generated code meets UX, performance, and security standards. • Stay on the bleeding edge of agentic research (ReAct, Reflexion, Chain-of-Thought) and rapidly translate findings into product features. MINIMUM QUALIFICATIONS • 3+ years in back-end or full-stack development with a focus on Python (FastAPI, Django, or Flask). • Proven experience building with LLMs and/or conversational AI (prompt engineering, embeddings, vector DBs like Pinecone/Chroma). • Solid CS fundamentals and OOP expertise; comfortable designing scalable, observable microservices. • Familiarity with cloud infrastructure (AWS, GCP, or Azure) and containerization (Docker, Kubernetes). • Strong analytical mindset and habit of writing thorough unit/integration tests. • Excellent written and verbal communication in English; able to thrive in an async-first environment. PREFERRED QUALIFICATIONS Hands-on work with agent frameworks (LangChain Agents, Microsoft AutoGen, Semantic Kernel, Open-AI function calling, etc.). Graph-based planning or reinforcement learning for tool-use agents. Experience contributing to dev-tooling, compilers, or IDE plugins. Knowledge of mobile app stacks (Flutter, React Native, Swift/Kotlin) and how LLM-generated code integrates with them. Prior startup or high-growth environment experience. WHAT SETS THIS ROLE APART Front-row seat to AI-first product innovation. You’ll turn pure research into a shipping product used by thousands of developers. Autonomy & ownership. You will own large problem spaces end-to-end and have latitude to choose tooling and approaches. High-impact culture. Small team, zero bureaucracy, and a direct line to the founding team.",aws;azure;chroma;ci/cd;communication;containerization;django;docker;fastapi;flask;gcp;kubernetes;llm;microservices;pinecone;postgresql;python;r;react;redis;security
Artificial Intelligence Engineer,BOSNET Distribution Indonesia,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/artificial-intelligence-engineer-at-bosnet-distribution-indonesia-4322553776?position=9&pageNum=2&refId=fA9FObB2cvwGbuRyT9SR8A%3D%3D&trackingId=ovxBrRbGyULMY8uUMtkgBg%3D%3D,"Responsibilities Develop and train machine learning models using Python libraries Perform data preprocessing, cleaning, and analysis to prepare datasets for training. Implement neural networks and time series analyses to solve complex problems. Develop and optimize computer vision algorithms. Collaborate with other team members to integrate AI solutions into business applications. Requirements Bachelor’s degree in Computer Science, Engineering, Mathematics, or related field Strong foundational knowledge in Python Understanding of machine learning and neural networks Experience in creating computer vision and time series analysis is a plus Willing to work WFO from Tebet, Jakarta Selatan",computer vision;data preprocessing;machine learning;neural networks;python;time series
Senior Data Scientist - Credit Scoring,Amar Bank,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/senior-data-scientist-credit-scoring-at-amar-bank-4309677792?position=10&pageNum=2&refId=fA9FObB2cvwGbuRyT9SR8A%3D%3D&trackingId=Lgf3KV94zT6J%2FDLEeAbO2A%3D%3D,"This Senior Data Scientist directly supports Amar Bank’s strategic goals of scaling data-driven lending, improving model governance, and increasing acceptance in new customer segments. Responsibilities Develop, maintain, and improve credit scoring and risk models using Python and SQL Conduct feature engineering and data analysis to improve model performance Collaborate with business, risk management, and IT to ensure models are deployed successfully Document models and processes according to regulatory and internal standards Contribute to process improvements and adoption of new tools (e.g., Vertex AI) Support knowledge transfer across multicultural teams Requirements Proven track record in predictive model development and deployment, ideally in credit risk Strong skills in Python and SQL Understanding of the banking and credit risk domain Experience with cloud platforms (Vertex AI or similar) Strong communication and collaboration skills Ability to work independently and take ownership of projects Fluent English, ability to work in a multicultural environment Bonus Point Experience with regulatory model governance Prior exposure to Asian financial services markets We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.",communication;data scientist;feature engineering;python;sql;vertex ai
Deep Learning / AI Scientist - Liveness Detection and Biometrics,VIDA Digital Identity,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/deep-learning-ai-scientist-liveness-detection-and-biometrics-at-vida-digital-identity-4212415978?position=1&pageNum=5&refId=vb5ByPxLEAe4OTfzF%2B%2Bfhg%3D%3D&trackingId=6%2FT9xdJQwIXYi2zzFWKQkA%3D%3D,"Our mission is to create innovative, robust, and user-friendly digital identity solutions. We are looking for a passionate and skilled Deep Learning AI Scientist specializing in Liveness Detection and Biometrics to join our dynamic team. Your work will directly impact the security and reliability of VIDA's identity verification systems. Responsibilities: Liveness Detection Development: Design, train, and deploy advanced deep learning models to ensure robust liveness detection, preventing spoofing attacks using photos, videos, masks, or other methods. Design, train and deploy biometric models to correctly identify users Own the full lifecycle of deploying models: from data labelling, working with engineers to design scalable APIs, to monitoring and A/B testing new model versions Stay updated with the latest research in biometrics, computer vision, and deep learning, incorporating new techniques to improve VIDA’s products Collaborate with business, product, operations and engineering teams to deliver impact for our customers Work independently or in a team to solve complex problem statements Requirements: An advanced degree in a quantitative field, and 3+ years of hands-on experience in deep learning model development for biometrics or liveness detection or a similar field. Deep understanding of modern computer vision techniques, deep learning and machine learning Experience developing and deploying machine learning models in production Experience with adversarial training to enhance model robustness Proficient in Python, C++, Scala, or Java Familiarity with modern deep learning frameworks such as TensorFlow, PyTorch, MXNet Familiarity with cloud platforms like AWS, GCP, or Azure for model deployment. Experience in on-device inference for machine learning models is a plus Take pride in taking ownership and driving projects to have business impact Thrive in a fast moving collaborative environment What are we trying to solve? We have 7.5 billion people on Earth, of which over 1 billion cannot securely prove their identity right now. Every year, 140 million babies are born, of which 40 million go unregistered. Simply put, these people are deprived of social benefits, such as education and health, their civil rights to vote and travel; and are excluded from the economy because they cannot sign up for bank accounts, loans, welfare programs etc. We believe this is unacceptable, and needs to change. At VIDA , We are creating a frictionless digital identity system. One that fulfills the needs and expectations of our times, and is available anywhere, for everyone. Why are we solving this problem? The United Nations (UN) and World Bank ID4D initiatives aim to provide everyone on the planet with a legal identity by 2030. This deadline is just 9 years away, we are expecting a digital identity to be a legal human right by then and we at VIDA want to be pioneers in leading this change. Who are we? We are a highly driven bunch of people to solve this problem for our own reasons. Whether it is to solve for misleading doctors, or because we didn’t get access to fair ration due to corruption - Our collective goal aligns.",aws;azure;c;computer vision;deep learning;gcp;java;machine learning;model deployment;monitoring;python;pytorch;scala;security;tensorflow;testing
Data Scientist,PT. CYBERTREND INTRABUANA,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-scientist-at-pt-cybertrend-intrabuana-4317436414?position=2&pageNum=5&refId=vb5ByPxLEAe4OTfzF%2B%2Bfhg%3D%3D&trackingId=0f62SS4%2BcocvOCImISHZ6Q%3D%3D,"About The Role We are SmartCyber, member of Cybertrend, one of the leader data science consultants in Indonesia. At CYBERTREND, Delivery Department is one of our core capabilities in realizing solutions for clients. As DATA SCIENTIST , you will be part of the core team, in ensuring that our product and solution delivered to customers are designed and developed with highly scalable, reliable and maintainable system. Along with owning the entire life cycle of all CYBERTREND’s projects, analyse data from multiple angles, looking for trends that highlight problems or opportunities. We Are Looking Someone With A Bachelor’s Degree in Software Engineering, Computer Science, Information Systems, Mathematics, Statistics, or a similar field At least 5 years of experience as a Data Scientist/ Machine Learning Engineer, with solid understanding of Data Science and Machine Learning fundamentals and experience taking Data Science models into production Experience using Data Science technology, framework, tools and Algorithm (e.g., Machine learning / phyton / R / Data Mining / Statistics / K-NN / Naïve Bayes / SVM / Weka / SPSS / Sentiment Analysis / NLP) Proven experience in understanding Business needs and formulating Data Science solutions to solve the issues High-level experience in Data Mining High-level experience in one or more natural language processing topics: tagging, syntactic parsing word sense disambiguation, topic modelling; contextual text mining and application of deep learning to NLP High-level experience working with a wide range of predictive and decision models and data mining technique, as well as tools for developing such models Ability to communicate with business user to capture business data needs Strong analytical thinking and problem solving High-level written and verbal communication skills The Work You’ll Do As part of cross-functional and work together with Sales, Presales and Product team to design and build end-to-end Data Science solutions Work closely with business to identify issues and use data to propose solutions for effective decision making Build algorithms and design experiments to merge, manage, interrogate and extract data to supply tailored reports to colleagues, customers or the wider organization Use machine learning tools and statistical techniques to produce solutions to problems Test data mining models to select the most appropriate ones for use on a project Horizon scan to stay up to date with the latest technology, techniques and methods Conduct research from which you’ll develop prototypes and proof of concepts Create Technical Proposal for Project Conduct knowledge acceleration to internal team What Cybertrend Can Offer You The unique opportunity to work within data science and artificial intelligence solution for various industries – real world data science, AI , Data Management and Governance experiences Investment in your personal growth and skill development (clear career paths, mentorship and coaching, learning development, etc) Attractive compensation and benefits packages An open-minded culture with innovative, autonomous teams A clear set of company core values that guide everything we do: GROWTH mindset, SOLUTION oriented, INNOVATIVE achiever, COMPASSIONATE, GOTONG ROYONG and Cool & FUN",communication;data scientist;deep learning;machine learning;natural language processing;nlp;problem solving;r;sentiment analysis;svm
Principal Data Scientist (Indonesia),Thakral One,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/principal-data-scientist-indonesia-at-thakral-one-4313743010?position=3&pageNum=5&refId=vb5ByPxLEAe4OTfzF%2B%2Bfhg%3D%3D&trackingId=3eIKoyZSBteQeTsst6MWGw%3D%3D,"The Opportunity. We are seeking an experienced Principal Data Scientist to support data-driven initiatives for one of our global clients in the payments and financial services domain. The role will be part of a regional analytics and consulting team, responsible for delivering high-impact analytical solutions that enable business growth, enhance customer engagement, and optimize portfolio performance. This is an individual contributor role focused on executing complex data science projects and generating actionable insights that drive strategic decision-making. The position requires strong technical expertise, business acumen, and the ability to translate data into measurable business outcomes. The Role. Execute and deliver end-to-end data science and analytics projects that address key business priorities in areas such as portfolio management, customer segmentation, acquisition, digital adoption, and risk optimization. Translate business challenges into analytical frameworks and apply appropriate statistical or machine learning techniques to generate insights and recommendations. Build, test, and deploy predictive and prescriptive models using advanced data science methods and tools. Work with large and complex data sets across multiple environments (on-premise and cloud-based). Collaborate with internal consulting and business stakeholders to define scope, design solutions, and communicate outcomes effectively. Deliver findings and recommendations through clear, data-driven storytelling and visualization. Ensure project quality, consistency, and adherence to data science standards and best practices. Proactively identify opportunities to apply analytics and data science to solve emerging business challenges. The Expertise. Bachelor’s or Master’s degree in a Quantitative discipline (Statistics, Mathematics, Computer Science, Engineering, Economics, etc.) At least 8 years of professional experience in data science, analytics, or statistical modeling with banking, payments, or financial services sectors. Strong proficiency in Python, R, and SQL , with experience in big data platforms (Hadoop, Spark, Hive) and cloud environments (GCP, AWS, Azure). Solid understanding of statistical and machine learning methods , such as regression, classification, clustering, gradient boosting, and neural networks. Experience with data visualization tools (Tableau, Power BI, or similar). Proven ability to manage multiple concurrent analytics projects with diverse stakeholders. Excellent communication and presentation skills, with the ability to convey complex analytical concepts to non-technical audiences. Strong analytical mindset, problem-solving ability, and attention to detail. Other Relevant Information: Location: Jakarta, Indonesia Contract-Based (1 year) Full Onsite About us. Thakral One is a consulting and technology services company headquartered in Singapore, with a pan-Asian presence. We focus primarily around technology-driven consulting, adoption of value-added bespoke solutions, enabling enhanced decision support through data analytics, and embracing possibilities in the cloud. We are heavily inclined towards building capabilities collaboratively with clients and believe strongly in improving grounded and practical outcomes. This approach is possible through our partnership with leading global technology providers and internal R&D teams. Our clients come from Financial Services, Banking, Telco, Government, Healthcare, and Consumer-oriented organisations.",aws;azure;clustering;communication;customer segmentation;data scientist;data visualization;gcp;gradient boosting;hadoop;machine learning;neural networks;presentation skills;python;r;segmentation;spark;sql;tableau
Senior Data Scientist (Analytics) - Transaction Platform,Grab,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/senior-data-scientist-analytics-transaction-platform-at-grab-4321718413?position=4&pageNum=5&refId=vb5ByPxLEAe4OTfzF%2B%2Bfhg%3D%3D&trackingId=66CcLG93HqU8UH0WPTXyfg%3D%3D,"Company Description About Grab and Our Workplace Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility. Job Description Get to Know the Team We drive innovation and operational excellence by turning data into actionable strategies that elevate the end-to-end experience for consumers, driver-partners, and merchant-partners. From optimizing transaction flows and platform efficiency to enhancing reliability, we strive to make Grab the first choice, every time. Get to Know the Role You will report to the Product Analytics Manager, TP and you'll have the unique opportunity to collaborate across disciplines (Product, Business, Engineering, Design, Data Science) to transform data into dynamic solutions. Your insights will directly contribute to developing groundbreaking products and initiatives, setting new benchmarks for excellence. This isn't just any role; it's a chance to make a tangible impact on millions of lives every day. You will report to Analytics Manager and based in Jakarta office. The Critical Tasks You Will Perform You will understand our requirements and outcomes to ensure data-driven decision-making. You will conduct tailored analyses for specific products and operations, define critical business metrics, track them rigorously, and recommend continuous improvements. You will frame business scenarios and propose features that impact critical business processes and decisions. You will transform requirements into concise insights through reports, presentations, and dashboards, and consolidate data from multiple sources to create comprehensive views for decision-making. You will develop data pipelines and custom data science models to solve identified problems. You will launch A/B tests, analyze the results, and provide recommendations based on your findings. Qualifications What Essential Skills You Will Need You have at least 4 years of experience in data-related or quantitative fields such as Analytics, Science, Statistics, or Mathematics. You are fluent with SQL, Python, R or other scripting/programming languages. You are experienced in handling large datasets and maintaining complex Extract, Transform and Load (ETL) processes. You have solid statistical knowledge and hands-on experience running and analysing controlled experiments. You are proficient in creating dashboards using Tableau, PowerBI or other visualisation tools. Additional Information Life at Grab We care about your well-being at Grab, here are some of the global benefits we offer: We have your back with Term Life Insurance and comprehensive Medical Insurance. With GrabFlex, create a benefits package that suits your needs and aspirations. Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leave We have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges. Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours What We Stand For At Grab We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",etl;powerbi;product analytics;python;r;sql;tableau
